,Country,Shots,Percentage Deviations
0,France,One,0.4507042253521127
1,India,One,0.6578947368421053
2,Sierra_Leone,One,0.18072289156626506
3,Singapore,One,0.1511627906976744
4,USA,One,0.5238095238095238
5,France,One,0.39285714285714285
6,India,One,0.4675324675324675
7,Sierra_Leone,One,0.19444444444444445
8,Singapore,One,0.08139534883720931
9,USA,One,0.6296296296296297
10,France,One,0.44565217391304346
11,India,One,0.5176470588235295
12,Sierra_Leone,One,0.21428571428571427
13,Singapore,One,0.14705882352941177
14,USA,One,0.6941176470588235
15,France,One,0.38461538461538464
16,India,One,0.575
17,Sierra_Leone,One,0.12658227848101267
18,Singapore,One,0.1232876712328767
19,USA,One,0.5444444444444444
20,France,One,0.3411764705882353
21,India,One,0.5970149253731343
22,Sierra_Leone,One,0.13793103448275862
23,Singapore,One,0.14772727272727273
24,USA,One,0.5342465753424658
25,France,Two,0.23529411764705882
26,India,Two,0.2777777777777778
27,Sierra_Leone,Two,0.0
28,Singapore,Two,0.0
29,USA,Two,0.19047619047619047
30,France,Two,0.23529411764705882
31,India,Two,0.34615384615384615
32,Sierra_Leone,Two,0.047619047619047616
33,Singapore,Two,0.0
34,USA,Two,0.17391304347826086
35,France,Two,0.15
36,India,Two,0.36363636363636365
37,Sierra_Leone,Two,0.0
38,Singapore,Two,0.0
39,USA,Two,0.10526315789473684
40,France,Two,0.2631578947368421
41,India,Two,0.35294117647058826
42,Sierra_Leone,Two,0.11764705882352941
43,Singapore,Two,0.0
44,USA,Two,0.17857142857142858
45,France,Two,0.15
46,India,Two,0.35714285714285715
47,Sierra_Leone,Two,0.0
48,Singapore,Two,0.0
49,USA,Two,0.15384615384615385
50,France,Two,0.2727272727272727
51,India,Two,0.3448275862068966
52,Sierra_Leone,Two,0.0
53,Singapore,Two,0.0
54,USA,Two,0.09090909090909091
55,France,Two,0.047619047619047616
56,India,Two,0.44
57,Sierra_Leone,Two,0.0
58,Singapore,Two,0.0
59,USA,Two,0.09090909090909091
60,France,Two,0.22727272727272727
61,India,Two,0.29411764705882354
62,Sierra_Leone,Two,0.0
63,Singapore,Two,0.0
64,USA,Two,0.13636363636363635
65,France,Two,0.06666666666666667
66,India,Two,0.42857142857142855
67,Sierra_Leone,Two,0.05263157894736842
68,Singapore,Two,0.0
69,USA,Two,0.23333333333333334
70,France,Two,0.25
71,India,Two,0.19230769230769232
72,Sierra_Leone,Two,0.0
73,Singapore,Two,0.0
74,USA,Two,0.1875
75,France,Two,0.21428571428571427
76,India,Two,0.2857142857142857
77,Sierra_Leone,Two,0.0
78,Singapore,Two,0.0
79,USA,Two,0.21052631578947367
80,France,Two,0.22727272727272727
81,India,Two,0.45
82,Sierra_Leone,Two,0.0
83,Singapore,Two,0.0
84,USA,Two,0.2857142857142857
85,France,Two,0.22727272727272727
86,India,Two,0.16666666666666666
87,Sierra_Leone,Two,0.1
88,Singapore,Two,0.0
89,USA,Two,0.23076923076923078
90,France,Two,0.38095238095238093
91,India,Two,0.42857142857142855
92,Sierra_Leone,Two,0.05263157894736842
93,Singapore,Two,0.0
94,USA,Two,0.15789473684210525
95,France,Two,0.2631578947368421
96,India,Two,0.16666666666666666
97,Sierra_Leone,Two,0.0
98,Singapore,Two,0.0
99,USA,Two,0.2727272727272727
100,France,Two,0.10526315789473684
101,India,Two,0.2631578947368421
102,Sierra_Leone,Two,0.0
103,Singapore,Two,0.0
104,USA,Two,0.10526315789473684
105,France,Two,0.09090909090909091
106,India,Two,0.42857142857142855
107,Sierra_Leone,Two,0.0
108,Singapore,Two,0.0
109,USA,Two,0.35714285714285715
110,France,Two,0.3125
111,India,Two,0.25925925925925924
112,Sierra_Leone,Two,0.1111111111111111
113,Singapore,Two,0.0
114,USA,Two,0.21739130434782608
115,France,Two,0.21052631578947367
116,India,Two,0.3333333333333333
117,Sierra_Leone,Two,0.034482758620689655
118,Singapore,Two,0.0
119,USA,Two,0.35294117647058826
120,France,Two,0.35294117647058826
121,India,Two,0.36363636363636365
122,Sierra_Leone,Two,0.10344827586206896
123,Singapore,Two,0.0
124,USA,Two,0.3333333333333333
125,France,Three,0.22727272727272727
126,India,Three,0.18181818181818182
127,Sierra_Leone,Three,0.0
128,Singapore,Three,0.0
129,USA,Three,0.0
130,France,Three,0.42105263157894735
131,India,Three,0.32
132,Sierra_Leone,Three,0.0
133,Singapore,Three,0.0
134,USA,Three,0.2777777777777778
135,France,Three,0.125
136,India,Three,0.21739130434782608
137,Sierra_Leone,Three,0.0
138,Singapore,Three,0.0
139,USA,Three,0.16
140,France,Three,0.2608695652173913
141,India,Three,0.2222222222222222
142,Sierra_Leone,Three,0.0
143,Singapore,Three,0.0
144,USA,Three,0.11538461538461539
145,France,Three,0.29411764705882354
146,India,Three,0.2222222222222222
147,Sierra_Leone,Three,0.0
148,Singapore,Three,0.0
149,USA,Three,0.08695652173913043
150,France,Three,0.23076923076923078
151,India,Three,0.18181818181818182
152,Sierra_Leone,Three,0.037037037037037035
153,Singapore,Three,0.0
154,USA,Three,0.08695652173913043
155,France,Three,0.2
156,India,Three,0.22727272727272727
157,Sierra_Leone,Three,0.0
158,Singapore,Three,0.0
159,USA,Three,0.16666666666666666
160,France,Three,0.19230769230769232
161,India,Three,0.2727272727272727
162,Sierra_Leone,Three,0.0
163,Singapore,Three,0.0
164,USA,Three,0.1875
165,France,Three,0.2222222222222222
166,India,Three,0.2857142857142857
167,Sierra_Leone,Three,0.0
168,Singapore,Three,0.0
169,USA,Three,0.1111111111111111
170,France,Three,0.4230769230769231
171,India,Three,0.22727272727272727
172,Sierra_Leone,Three,0.0
173,Singapore,Three,0.0
174,USA,Three,0.15
175,France,Three,0.3333333333333333
176,India,Three,0.3333333333333333
177,Sierra_Leone,Three,0.0
178,Singapore,Three,0.0
179,USA,Three,0.058823529411764705
180,France,Three,0.16666666666666666
181,India,Three,0.2777777777777778
182,Sierra_Leone,Three,0.047619047619047616
183,Singapore,Three,0.0
184,USA,Three,0.14285714285714285
185,France,Three,0.4090909090909091
186,India,Three,0.18181818181818182
187,Sierra_Leone,Three,0.0
188,Singapore,Three,0.0
189,USA,Three,0.1111111111111111
190,France,Three,0.3333333333333333
191,India,Three,0.25
192,Sierra_Leone,Three,0.05263157894736842
193,Singapore,Three,0.0
194,USA,Three,0.05555555555555555
195,France,Three,0.09523809523809523
196,India,Three,0.25
197,Sierra_Leone,Three,0.0
198,Singapore,Three,0.0
199,USA,Three,0.15
200,France,Three,0.2
201,India,Three,0.35
202,Sierra_Leone,Three,0.0
203,Singapore,Three,0.0
204,USA,Three,0.0
205,France,Three,0.07142857142857142
206,India,Three,0.34782608695652173
207,Sierra_Leone,Three,0.0
208,Singapore,Three,0.0
209,USA,Three,0.09523809523809523
210,France,Three,0.07692307692307693
211,India,Three,0.2608695652173913
212,Sierra_Leone,Three,0.0
213,Singapore,Three,0.0
214,USA,Three,0.09523809523809523
215,France,Three,0.2608695652173913
216,India,Three,0.2608695652173913
217,Sierra_Leone,Three,0.0
218,Singapore,Three,0.0
219,USA,Three,0.14285714285714285
220,France,Three,0.375
221,India,Three,0.45
222,Sierra_Leone,Three,0.0
223,Singapore,Three,0.0
224,USA,Three,0.08
225,France,Four,0.11538461538461539
226,India,Four,0.4375
227,Sierra_Leone,Four,0.0
228,Singapore,Four,0.0
229,USA,Four,0.045454545454545456
230,France,Four,0.18181818181818182
231,India,Four,0.21428571428571427
232,Sierra_Leone,Four,0.0
233,Singapore,Four,0.0
234,USA,Four,0.043478260869565216
235,France,Four,0.0
236,India,Four,0.08333333333333333
237,Sierra_Leone,Four,0.0
238,Singapore,Four,0.0
239,USA,Four,0.0
240,France,Four,0.2
241,India,Four,0.25
242,Sierra_Leone,Four,0.0
243,Singapore,Four,0.0
244,USA,Four,0.11538461538461539
245,France,Four,0.2222222222222222
246,India,Four,0.19047619047619047
247,Sierra_Leone,Four,0.0
248,Singapore,Four,0.0
249,USA,Four,0.0
250,France,Four,0.21428571428571427
251,India,Four,0.07692307692307693
252,Sierra_Leone,Four,0.0
253,Singapore,Four,0.0
254,USA,Four,0.0
255,France,Four,0.15
256,India,Four,0.35294117647058826
257,Sierra_Leone,Four,0.0
258,Singapore,Four,0.0
259,USA,Four,0.0
260,France,Four,0.11538461538461539
261,India,Four,0.4444444444444444
262,Sierra_Leone,Four,0.0
263,Singapore,Four,0.0
264,USA,Four,0.05
265,France,Four,0.3333333333333333
266,India,Four,0.23529411764705882
267,Sierra_Leone,Four,0.0
268,Singapore,Four,0.0
269,USA,Four,0.03571428571428571
270,France,Four,0.14285714285714285
271,India,Four,0.22727272727272727
272,Sierra_Leone,Four,0.0
273,Singapore,Four,0.0
274,USA,Four,0.12
275,France,Four,0.17647058823529413
276,India,Four,0.15
277,Sierra_Leone,Four,0.0
278,Singapore,Four,0.0
279,USA,Four,0.07692307692307693
280,France,Four,0.22580645161290322
281,India,Four,0.2727272727272727
282,Sierra_Leone,Four,0.0
283,Singapore,Four,0.0
284,USA,Four,0.08333333333333333
285,France,Four,0.23529411764705882
286,India,Four,0.22727272727272727
287,Sierra_Leone,Four,0.0
288,Singapore,Four,0.0
289,USA,Four,0.047619047619047616
290,France,Four,0.23809523809523808
291,India,Four,0.20833333333333334
292,Sierra_Leone,Four,0.0
293,Singapore,Four,0.0
294,USA,Four,0.15384615384615385
295,France,Four,0.18181818181818182
296,India,Four,0.2916666666666667
297,Sierra_Leone,Four,0.0
298,Singapore,Four,0.0
299,USA,Four,0.07692307692307693
300,France,Four,0.12
301,India,Four,0.1
302,Sierra_Leone,Four,0.045454545454545456
303,Singapore,Four,0.0
304,USA,Four,0.058823529411764705
305,France,Four,0.0
306,India,Four,0.17391304347826086
307,Sierra_Leone,Four,0.0
308,Singapore,Four,0.0
309,USA,Four,0.0
310,France,Four,0.2
311,India,Four,0.23529411764705882
312,Sierra_Leone,Four,0.0
313,Singapore,Four,0.0
314,USA,Four,0.05
315,France,Four,0.14285714285714285
316,India,Four,0.1111111111111111
317,Sierra_Leone,Four,0.0
318,Singapore,Four,0.0
319,USA,Four,0.07142857142857142
320,France,Four,0.15
321,India,Four,0.25
322,Sierra_Leone,Four,0.0
323,Singapore,Four,0.0
324,USA,Four,0.0
325,France,Four,0.2631578947368421
326,India,Four,0.2777777777777778
327,Sierra_Leone,Four,0.0
328,Singapore,Four,0.0
329,USA,Four,0.0
330,France,Four,0.15625
331,India,Four,0.2222222222222222
332,Sierra_Leone,Four,0.0
333,Singapore,Four,0.0
334,USA,Four,0.038461538461538464
